email,phone,fn,ln,ct,st,zip,country,gen
,+919876543210,rajesh,kumar,560001,56,560001,in,
priya.sharma@hospital.in,+9123456789,priya,sharma,400001,40,400001,in,
dr.amit.patel@medicenter.co.in,+919876543211,amit,patel,380001,38,380001,in,
deepak.verma@clinic.org.in,+919876543212,deepak,verma,110001,11,110001,in,
drmanjiri@gmail.com,+9876543213,manjiri,desai,411001,41,411001,in,
arun.iyer@care.co.in,+919876543214,arun,iyer,600001,60,600001,in,
sakshi.nair@health.in,+9876543215,sakshi,nair,682001,68,682001,in,
vishal.gupta@hospital.org,+919876543216,vishal,gupta,201301,20,201301,in,
neha.singh@medical.in,+9876543217,neha,singh,226001,22,226001,in,
vikram.reddy@clinic.co.in,+919876543218,vikram,reddy,500001,50,500001,in,
anjali.kapoor@doctorindia.in,+9876543219,anjali,kapoor,110001,11,110001,in,
rohan.chatterjee@healthcare.in,+919876543220,rohan,chatterjee,700001,70,700001,in,
divya.mishra@medicpoint.org,+9876543221,divya,mishra,211001,21,211001,in,
suresh.nambiar@health.co.in,+919876543222,suresh,nambiar,695001,69,695001,in,
pradeep.singh@clinic.in,+9876543223,pradeep,singh,828001,82,828001,in,
kavya.krishnan@hospital.co.in,+919876543224,kavya,krishnan,641001,64,641001,in,
arjun.menon@doccare.in,+9876543225,arjun,menon,612001,61,612001,in,
nisha.bhat@medical.in,+919876543226,nisha,bhat,575001,57,575001,in,
sanjay.malhotra@healthplus.in,+9876543227,sanjay,malhotra,141001,14,141001,in,
meera.joshi@clinic.org,+919876543228,meera,joshi,411044,41,411044,in,
abhishek.rao@careindia.in,+9876543229,abhishek,rao,560034,56,560034,in,
pooja.yadav@health.in,+919876543230,pooja,yadav,201009,20,201009,in,
harsh.sharma@hospital.com,+9876543231,harsh,sharma,110091,11,110091,in,
zara.khan@medicenter.in,+919876543232,zara,khan,560103,56,560103,in,
nikhil.jain@clinic.in,+9876543233,nikhil,jain,380006,38,380006,in,
riya.malhotra@healthcare.org,+919876543234,riya,malhotra,110016,11,110016,in,
kunal.sinha@hospital.in,+9876543235,kunal,sinha,700016,70,700016,in,
sneha.das@doctorindia.com,+919876543236,sneha,das,226001,22,226001,in,
vedant.shah@medical.co.in,+9876543237,vedant,shah,380007,38,380007,in,
tina.gupta@clinic.org.in,+919876543238,tina,gupta,201301,20,201301,in,
