Email,Phone,First Name,Last Name,Country,Zip
Dr. Rajesh Kumar,+91-9876543210,Rajesh,Kumar,India,560001
priya.sharma@hospital.in,9123456789,Priya,Sharma,India,400001
dr.amit.patel@medicenter.co.in,+91 98765 43211,Amit,Patel,India,380001
deepak.verma@clinic.org.in,(91) 9876-5432-12,Deepak,Verma,India,110001
drmanjiri@gmail.com,9876543213,Manjiri,Desai,India,411001
arun.iyer@care.co.in,+919876543214,Arun,Iyer,India,600001
sakshi.nair@health.in,9876543215,Sakshi,Nair,India,682001
vishal.gupta@hospital.org,+91-9876543216,Vishal,Gupta,India,201301
neha.singh@medical.in,9876543217,Neha,Singh,India,226001
vikram.reddy@clinic.co.in,+91 98765 43218,Vikram,Reddy,India,500001
anjali.kapoor@doctorindia.in,9876543219,Anjali,Kapoor,India,110001
rohan.chatterjee@healthcare.in,+919876543220,Rohan,Chatterjee,India,700001
divya.mishra@medicpoint.org,9876543221,Divya,Mishra,India,211001
suresh.nambiar@health.co.in,+91-9876543222,Suresh,Nambiar,India,695001
pradeep.singh@clinic.in,9876543223,Pradeep,Singh,India,828001
kavya.krishnan@hospital.co.in,+919876543224,Kavya,Krishnan,India,641001
arjun.menon@doccare.in,9876543225,Arjun,Menon,India,612001
nisha.bhat@medical.in,+91-9876543226,Nisha,Bhat,India,575001
sanjay.malhotra@healthplus.in,9876543227,Sanjay,Malhotra,India,141001
meera.joshi@clinic.org,+919876543228,Meera,Joshi,India,411044
abhishek.rao@careindia.in,9876543229,Abhishek,Rao,India,560034
pooja.yadav@health.in,+91-9876543230,Pooja,Yadav,India,201009
harsh.sharma@hospital.com,9876543231,Harsh,Sharma,India,110091
zara.khan@medicenter.in,+919876543232,Zara,Khan,India,560103
nikhil.jain@clinic.in,9876543233,Nikhil,Jain,India,380006
riya.malhotra@healthcare.org,+91-9876543234,Riya,Malhotra,India,110016
kunal.sinha@hospital.in,9876543235,Kunal,Sinha,India,700016
sneha.das@doctorindia.com,+919876543236,Sneha,Das,India,226001
vedant.shah@medical.co.in,9876543237,Vedant,Shah,India,380007
tina.gupta@clinic.org.in,+91-9876543238,Tina,Gupta,India,201301
